snapshot_date,index_code,index_name,ticker,name,market,sector,open,high,low,close,volume,amount,change_pct,bps,per,pbr,eps,div,dps,fwd_per,member_yn,collected_at,source
2026-03-27,1028,KOSPI 200,078930,GS,KOSPI,,67200,68200,65100,67900,202401,13486603000,0.15,148685.0,11.34,0.46,5988.0,,2700.0,7.63,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,079550,LIG넥스원,KOSPI,,723000,746000,709000,735000,289394,210886192000,0.0,55550.0,72.25,13.23,10173.0,,2400.0,40.5,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,081660,미스토홀딩스,KOSPI,,39600,40400,39100,40200,133636,5337895550,0.25,33628.0,28.37,1.2,1417.0,,1200.0,7.4,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,082740,한화엔진,KOSPI,,47450,47500,45250,46650,518286,23909646475,-5.18,4714.0,48.19,9.9,968.0,,0.0,20.4,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,086280,현대글로비스,KOSPI,,221500,232500,218500,231500,166088,37830517750,1.76,116975.0,15.87,1.98,14585.0,,3700.0,9.41,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,086790,하나금융지주,KOSPI,,105300,110600,104200,110400,853865,92475120100,1.47,151798.0,8.74,0.73,12629.0,,3600.0,7.16,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,088350,한화생명,KOSPI,,4610,4780,4530,4720,4735106,21949493379,-0.21,15697.0,5.04,0.3,936.0,,0.0,7.26,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,090430,아모레퍼시픽,KOSPI,,134400,145200,132900,144400,352716,49882341950,6.18,76149.0,16.79,1.9,8601.0,,1125.0,26.8,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,093370,후성,KOSPI,,7030,7440,6920,7370,358161,2591779285,2.22,3044.0,,2.42,,,0.0,,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,096770,SK이노베이션,KOSPI,,109500,111400,106300,111400,310314,33872874450,0.09,165656.0,,0.67,,,2000.0,123.56,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,097950,CJ제일제당,KOSPI,,213000,218000,211000,214500,38090,8171454250,-0.92,490755.0,23.2,0.44,9244.0,,6000.0,8.48,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,103140,풍산,KOSPI,,91000,92000,88800,91700,130794,11806268900,-1.93,80518.0,10.61,1.14,8642.0,,2600.0,10.36,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,105560,KB금융,KOSPI,,146500,153000,146100,152200,1216855,183511314700,0.0,154949.0,11.82,0.98,12880.0,,3174.0,9.05,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,111770,영원무역,KOSPI,,80500,81800,79600,81800,42956,3465588800,0.74,86238.0,8.31,0.95,9846.0,,1400.0,6.16,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,112610,씨에스윈드,KOSPI,,60100,61400,59200,60200,312281,18778923900,-3.06,27720.0,17.53,2.17,3434.0,,1000.0,12.32,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,114090,GKL,KOSPI,,11490,11890,11330,11880,231317,2694431850,0.76,6686.0,22.25,1.78,534.0,,282.0,12.87,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,120110,코오롱인더,KOSPI,,79200,80000,75800,80000,329413,25720060650,-0.62,120405.0,30.58,0.66,2616.0,,1300.0,15.11,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,128940,한미약품,KOSPI,,535000,556000,523000,549000,70078,37790657500,-0.36,85558.0,57.38,6.42,9567.0,,1250.0,34.97,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,137310,에스디바이오센서,KOSPI,,7760,8130,7750,8130,82193,656142130,2.39,24236.0,,0.34,,,200.0,,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,138040,메리츠금융지주,KOSPI,,113200,116900,111200,116400,289409,33141206500,1.93,56153.0,9.5,2.07,12259.0,,1350.0,7.79,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,138930,BNK금융지주,KOSPI,,18070,18730,17900,18680,473920,8723415710,1.36,33604.0,8.59,0.56,2174.0,,650.0,6.49,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,139130,iM금융지주,KOSPI,,17000,17700,16600,17670,692153,12044120705,4.06,36006.0,15.76,0.49,1121.0,,500.0,5.68,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,139480,이마트,KOSPI,,95500,101500,95100,100000,297283,29448362700,2.25,387877.0,,0.26,,,2000.0,11.61,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,161390,한국타이어앤테크놀로지,KOSPI,,57300,58400,55400,58000,295280,16895053000,1.05,90995.0,6.35,0.64,9137.0,,2000.0,4.88,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,161890,한국콜마,KOSPI,,75200,81500,74800,80200,484072,38603328100,3.62,33579.0,20.94,2.39,3830.0,,720.0,12.51,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,175330,JB금융지주,KOSPI,,29400,31350,28950,31100,453295,13968053100,3.67,29348.0,9.04,1.06,3439.0,,995.0,7.7,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,180640,한진칼,KOSPI,,117800,117800,112500,117200,86234,9948867200,-0.93,47735.0,15.77,2.46,7434.0,,360.0,,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,185750,종근당,KOSPI,,91700,91700,89500,91700,23361,2116785600,0.0,67953.0,11.66,1.35,7866.0,,1100.0,17.16,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,192080,더블유게임즈,KOSPI,,50000,50500,49150,50500,47253,2355326825,0.4,57067.0,5.35,0.88,9441.0,,1200.0,5.96,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,192820,코스맥스,KOSPI,,188700,208000,185100,205000,146270,29609361000,8.58,41725.0,27.11,4.91,7562.0,,2300.0,16.04,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,204320,HL만도,KOSPI,,49950,51400,49300,51200,230794,11657487575,-0.58,53635.0,18.5,0.95,2767.0,,700.0,10.87,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,207940,삼성바이오로직스,KOSPI,,1551000,1608000,1537000,1606000,27116,42876318000,1.32,153212.0,105.51,10.48,15221.0,,0.0,39.93,True,2026-03-29 23:36:01,krx_data_marketplace
